1	2197.32673920138590000
2	2198.75213743688030000
3	2197.97337493674970000
4	2196.71574842809880000
5	2198.80923627812130000
6	2196.81317337293740000
7	2198.02292077446830000
8	2198.24055126885920000
9	2198.87548681957790000
10	2196.74378047511250000
11	2195.34663622294650000
12	2198.48544645614080000
13	2198.65362108723680000
14	2196.74621316782530000
15	2198.81073372866510000
16	2197.37717712103090000
17	2197.74004341188220000
18	2198.09689128414580000
19	2198.53757989051610000
20	2197.23168043940450000
