1	324.73492150529552000
2	315.57436001493102000
3	319.35374990085859000
4	324.74105514332115000
5	350.23263555690249000
6	347.49323449188279000
7	315.10559542766288000
8	315.53701972982310000
9	350.42772810202689000
10	321.00951294725689000
11	319.75782024362275000
12	340.99261464337138000
13	334.48308106722465000
14	349.35639167228743000
15	348.21165679556105000
16	318.02145956368855000
17	334.44024092408921000
18	313.68720511903854000
19	317.20096766205086000
20	316.25246028689889000
