1	2177.95376802424650000
2	2164.33322110347900000
3	2165.26910490252380000
4	2148.92631212333980000
5	2141.53234088774980000
6	2161.58561455176100000
7	2150.45761550409090000
8	2169.05089728006530000
9	2163.42152992907900000
10	2160.74480516824180000
11	2157.77026971976370000
12	2171.22497743845410000
13	2151.24161621194840000
14	2152.96002757588120000
15	2147.65954675343390000
16	2161.96311148225050000
17	2157.68526411434730000
18	2155.55895010902490000
19	2153.29924954770510000
20	2148.32808953713360000
