1	2048.21655400778400000
2	2111.64208151679710000
3	2108.82684641809600000
4	2033.62366143355800000
5	2008.85766294644800000
6	2060.04860989349570000
7	2057.16923653905950000
8	2075.29982823864160000
9	2033.16580123710900000
10	2021.00928205314220000
11	2017.56058643949500000
12	2020.62351977133540000
13	2037.62226412193150000
14	2058.42522222774600000
15	2040.15012607936230000
16	2026.22571301391010000
17	2038.69208422822070000
18	2024.79153509186700000
19	2062.08415708563550000
20	2114.44623159091360000
