1	1821.50763167789550000
2	1902.02500201161230000
3	1856.50664566146430000
4	1919.44591726145860000
5	1850.93095107414710000
6	1871.35846242149320000
7	1909.80230290899140000
8	1976.84422186637430000
9	1860.46665491353860000
10	1921.37026826183770000
11	1994.85678698653870000
12	2000.63501569479080000
13	1875.49313096244510000
14	2036.61200360522910000
15	2025.25202720220050000
16	1967.44160288812170000
17	1997.80767007679330000
18	1983.96486508106570000
19	1897.41711449125590000
20	1949.77111959177750000
